"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 213",0.00577159649879033,0.0223266788832046,99.7463922906197
"dim 214",0.00547204523649387,0.0211679033444515,99.7675601939641
"dim 215",0.00497491558414839,0.0192448212104937,99.7868050151746
"dim 216",0.00480733465565159,0.0185965559379159,99.8054015711126
"dim 217",0.00449324083615051,0.0173815243866511,99.8227830954992
"dim 218",0.00416646384641881,0.016117429622284,99.8389005251215
"dim 219",0.00393239532739904,0.0152119656554394,99.8541124907769
"dim 220",0.00389184158528345,0.0150550887188904,99.8691675794958
"dim 221",0.0035784208708845,0.0138426609881582,99.883010240484
"dim 222",0.00338820687743433,0.013106842614205,99.8961170830982
"dim 223",0.00318993958329481,0.0123398710821129,99.9084569541803
"dim 224",0.00290943620805043,0.0112547798450437,99.9197117340253
"dim 225",0.00284377076866762,0.0110007615367417,99.9307124955621
"dim 226",0.00223131841935954,0.00863156837898515,99.9393440639411
"dim 227",0.00209618722043563,0.00810883071253378,99.9474528946536
"dim 228",0.0019239325116921,0.0074424855220752,99.9548953801757
"dim 229",0.00174197446619343,0.00673860422113604,99.9616339843968
"dim 230",0.00169140647839326,0.00654298846289292,99.9681769728597
"dim 231",0.00141868281893882,0.00548799205595976,99.9736649649157
"dim 232",0.00116551730066186,0.00450865380318093,99.9781736187188
"dim 233",0.00108470323772842,0.0041960349926421,99.9823696537115
"dim 234",0.000910446442892051,0.00352194498958253,99.9858915987011
"dim 235",0.000790383392682039,0.00305749651881039,99.9889490952199
"dim 236",0.000697522399197705,0.002698275706556,99.9916473709264
"dim 237",0.000557327094120826,0.00215594819664771,99.9938033191231
"dim 238",0.000538201407562306,0.00208196293757729,99.9958852820607
"dim 239",0.000382172682575484,0.00147838587877446,99.9973636679394
"dim 240",0.0002727939969031,0.00105526849830856,99.9984189364377
"dim 241",0.000246021522155337,0.000951702622432225,99.9993706390602
"dim 242",0.000162694031466616,0.00062936093982496,100
"dim 243",2.6531538611347e-31,1.02633845414703e-30,100
"dim 244",1.16860565800587e-31,4.5206007164329e-31,100
"dim 245",8.02078335752699e-32,3.1027369022209e-31,100
"dim 246",7.37922337569424e-32,2.85455767309952e-31,100
"dim 247",5.81011736053179e-32,2.24756918834353e-31,100
"dim 248",5.37254615789747e-32,2.07830039535356e-31,100
"dim 249",4.97799045438506e-32,1.92567159506052e-31,100
"dim 250",4.64643668914403e-32,1.79741428444282e-31,100
"dim 251",4.02746118909391e-32,1.55797157168412e-31,100
"dim 252",3.94682807471144e-32,1.52677968825035e-31,100
"dim 253",3.80139171873807e-32,1.47051950411514e-31,100
"dim 254",3.59884665896627e-32,1.39216755227907e-31,100
"dim 255",2.82556130554127e-32,1.0930320570201e-31,100
"dim 256",2.65112855226844e-32,1.02555498945566e-31,100
"dim 257",2.43246516267241e-32,9.40967868993466e-32,100
"dim 258",1.99011221611525e-32,7.69849319855617e-32,100
"dim 259",1.93376219211777e-32,7.48051037679856e-32,100
"dim 260",1.74850735393721e-32,6.76387585730568e-32,100
"dim 261",1.57618319389825e-32,6.09726200344148e-32,100
"dim 262",1.24279685870955e-32,4.80759983607292e-32,100
"dim 263",1.12022270026285e-32,4.33343746599177e-32,100
"dim 264",1.06009375875778e-32,4.10083638778889e-32,100
"dim 265",1.0527074770973e-32,4.07226350699085e-32,100
"dim 266",9.53416432569047e-33,3.68816886911638e-32,100
"dim 267",9.31074950710965e-33,3.60174371945028e-32,100
"dim 268",8.17683616535376e-33,3.16310392423813e-32,100
"dim 269",4.88510263435186e-33,1.88973913632962e-32,100
"dim 270",4.41813085398418e-33,1.70909710790693e-32,100
"dim 271",3.17116660552642e-33,1.22672502316421e-32,100
"dim 272",2.47499740025886e-33,9.574209181797e-33,100
"dim 273",2.47499740025886e-33,9.574209181797e-33,100
"dim 274",2.47499740025886e-33,9.574209181797e-33,100
"dim 275",2.47499740025886e-33,9.574209181797e-33,100
"dim 276",1.83643327916337e-33,7.10400599260612e-33,100
"dim 277",1.74593259092582e-33,6.75391571768612e-33,100
"dim 278",1.65382425161578e-33,6.39760645132082e-33,100
"dim 279",1.4261458030934e-33,5.51686165049305e-33,100
"dim 280",9.43102235314782e-34,3.64826972334584e-33,100
